Item,Value,Priority,Relative Value
Random SSR Unit,1000,0,0
Specific SSR Unit,5000,0.3,1500
Random SSR+ Unit,5000,1,5000
Specific SSR+ Unit,25000,1,25000
Random XSR+ Unit,10000,1,10000
Specific XSR+ Unit,30000,1,30000
Specific EX Unit,45000,1,45000
Nonstop SSR Ticket,250,1,250
Nonstop SSR+ Ticket,400,1.1,440
24h Link EXP,320,1,320
24h Shinsu,200,1,200
24h Coins,100,0,0
Revolution Fragment,0.25,1,0.25
Radiant Revolution Fragment,0.5,10,5
Revolution Ore ,2,1,2
Tri-Essence Crystals,0,1,0
Exclusive Equipment Extracts,0,1,0
Uncommon Shinsu Whetstone,20,1,20
Rare Shinsu Whetstone,200,1,200
Master Key,10,1,10
Ignition Weapon Set,2000,1,2000
Epic Floating Ship Schematic,300,1,300
Legendary Floating Ship Schematic,3000,1,3000
Random Floating Ship Schematic,300,1,300
Black Market Ticket,500,1.1,550
Suspendium ,1,1.1,1.1
SSR+ Max Limit Break Chest,525000,1,525000
Normal Ticket,300,1,300
